name,2021,2020,2019,2018,2017,2016,2015,2014,2013
高校教职工,286,287,279,271,266,262,262,261,259
高中教职工,425,510,496,487,482,475,473,477,477
初中教职工,469,450,435,420,408,400,398,396,394
小学教职工,622,599,588,576,568,558,554,556,556
学前教育教职工,565,520,492,453,419,382,350,314,283
其他机构(教学点)教职工,8,8,7,7,7,6,6,6,6
